OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Region Index,Product  Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue
SO - 0001731,20-08-2017,06-09-2017,26,Wholesale,NZD,AXW291,82,7,7,194.3,79.66,1360.1
SO - 0002411,20-08-2017,07-09-2017,23,Distributor,EUR,AXW291,91,8,6,5695.0,2619.7,34170.0
SO - 0002698,20-08-2017,06-09-2017,48,Distributor,NZD,AXW291,63,1,10,1762.1,1286.33,17621.0
SO - 0002790,20-08-2017,24-08-2017,38,Distributor,NZD,AXW291,97,2,9,1788.9,948.12,16100.1
SO - 0003165,20-08-2017,23-08-2017,2,Distributor,NZD,AXW291,15,4,6,1051.9,420.76,6311.4
SO - 0003582,20-08-2017,03-09-2017,24,Distributor,NZD,AXW291,90,9,11,3939.6,2127.38,43335.6
SO - 0006402,20-08-2017,28-08-2017,39,Export,GBP,AXW291,95,9,8,1849.2,1442.38,14793.6
SO - 0006708,20-08-2017,28-08-2017,45,Wholesale,GBP,AXW291,39,12,12,1212.7,497.21,14552.4
SO - 0007007,20-08-2017,23-08-2017,36,Wholesale,GBP,AXW291,98,8,5,1989.9,1691.42,9949.5
SO - 0007927,20-08-2017,03-09-2017,29,Distributor,USD,AXW291,41,11,6,6385.1,5108.08,38310.6
SO - 0004031,21-08-2017,08-09-2017,20,Distributor,AUD,AXW291,69,1,9,1755.4,983.02,15798.6
SO - 0004757,21-08-2017,27-08-2017,1,Distributor,AUD,AXW291,58,2,7,268.0,125.96,1876.0
SO - 0004973,21-08-2017,30-08-2017,26,Distributor,NZD,AXW291,39,5,6,2579.5,1031.8,15477.0
SO - 0005766,21-08-2017,05-09-2017,35,Wholesale,AUD,AXW291,50,13,5,964.8,791.14,4824.0
SO - 0007097,21-08-2017,05-09-2017,29,Wholesale,USD,AXW291,75,1,7,1105.5,818.07,7738.5
SO - 0007417,21-08-2017,24-08-2017,36,Wholesale,GBP,AXW291,68,12,9,5440.4,4461.13,48963.6
SO - 0007520,21-08-2017,29-08-2017,32,Wholesale,AUD,AXW291,53,5,11,3879.3,2366.37,42672.3
SO - 0007651,21-08-2017,03-09-2017,40,Export,AUD,AXW291,1,9,9,194.3,108.81,1748.7
SO - 0007826,21-08-2017,08-09-2017,5,Wholesale,AUD,AXW291,65,5,6,1118.9,704.91,6713.4
SO - 000347,22-08-2017,29-08-2017,25,Distributor,USD,AXW291,89,1,9,951.4,599.38,8562.6
SO - 0001687,22-08-2017,08-09-2017,19,Distributor,GBP,AXW291,34,5,5,3959.7,2613.4,19798.5
SO - 0002541,22-08-2017,09-09-2017,14,Wholesale,AUD,AXW291,46,11,11,180.9,92.26,1989.9
SO - 0003547,22-08-2017,06-09-2017,50,Wholesale,USD,AXW291,91,6,5,5279.6,3431.74,26398.0
SO - 0006003,22-08-2017,25-08-2017,50,Distributor,AUD,AXW291,53,4,6,1949.7,1559.76,11698.2
SO - 0007041,22-08-2017,28-08-2017,30,Distributor,NZD,AXW291,47,2,7,3999.9,1879.95,27999.3
SO - 0007368,22-08-2017,02-09-2017,22,Wholesale,USD,AXW291,19,12,11,5896.0,3183.84,64856.0
SO - 0008080,22-08-2017,25-08-2017,7,Wholesale,USD,AXW291,57,5,7,964.8,492.05,6753.6
SO - 000381,23-08-2017,08-09-2017,17,Distributor,NZD,AXW291,24,7,11,944.7,538.48,10391.7
SO - 000433,23-08-2017,29-08-2017,20,Distributor,NZD,AXW291,52,9,8,1983.2,1090.76,15865.6
SO - 000874,23-08-2017,09-09-2017,35,Wholesale,GBP,AXW291,75,2,12,2505.8,1378.19,30069.6
SO - 0002212,23-08-2017,01-09-2017,6,Distributor,NZD,AXW291,6,5,10,3865.9,1585.02,38659.0
SO - 0002882,23-08-2017,06-09-2017,1,Distributor,GBP,AXW291,56,13,5,1876.0,1163.12,9380.0
SO - 0003133,23-08-2017,04-09-2017,29,Wholesale,USD,AXW291,45,13,9,3946.3,2999.19,35516.7
SO - 0004405,23-08-2017,01-09-2017,35,Wholesale,USD,AXW291,52,4,5,1038.5,820.42,5192.5
SO - 0004675,23-08-2017,04-09-2017,36,Wholesale,AUD,AXW291,26,1,6,1011.7,607.02,6070.2
SO - 0005441,23-08-2017,26-08-2017,32,Distributor,NZD,AXW291,65,11,9,958.1,469.47,8622.9
SO - 0005454,23-08-2017,28-08-2017,44,Wholesale,AUD,AXW291,34,2,7,1051.9,736.33,7363.3
SO - 0006117,23-08-2017,09-09-2017,18,Wholesale,NZD,AXW291,64,11,8,2546.0,2062.26,20368.0
SO - 0006793,23-08-2017,10-09-2017,38,Export,AUD,AXW291,84,7,10,3953.0,3043.81,39530.0
SO - 0007262,23-08-2017,29-08-2017,37,Export,EUR,AXW291,34,13,11,3343.3,1604.78,36776.3
SO - 000871,24-08-2017,05-09-2017,49,Wholesale,USD,AXW291,26,11,8,3953.0,2450.86,31624.0
SO - 0001291,24-08-2017,31-08-2017,10,Wholesale,AUD,AXW291,13,7,5,6103.7,4394.66,30518.5
SO - 0002503,24-08-2017,03-09-2017,37,Wholesale,USD,AXW291,81,11,8,1125.6,765.41,9004.8
SO - 0002874,24-08-2017,08-09-2017,15,Export,NZD,AXW291,36,11,7,1179.2,919.78,8254.4
SO - 0003042,24-08-2017,02-09-2017,5,Distributor,USD,AXW291,58,13,10,3035.1,2215.62,30351.0
SO - 0003685,24-08-2017,02-09-2017,17,Wholesale,EUR,AXW291,26,2,12,2532.6,1646.19,30391.2
SO - 0006262,24-08-2017,09-09-2017,39,Distributor,EUR,AXW291,40,7,10,850.9,340.36,8509.0
SO - 0007372,24-08-2017,09-09-2017,32,Distributor,USD,AXW291,89,7,10,5266.2,3528.35,52662.0
SO - 0007865,24-08-2017,10-09-2017,45,Wholesale,NZD,AXW291,33,10,8,2894.4,2373.41,23155.2
SO - 000286,25-08-2017,28-08-2017,4,Wholesale,AUD,AXW291,23,1,9,2485.7,1789.7,22371.3
SO - 000690,25-08-2017,01-09-2017,5,Wholesale,NZD,AXW291,9,7,5,683.4,382.7,3417.0
SO - 0001684,25-08-2017,12-09-2017,19,Wholesale,NZD,AXW291,31,7,5,917.9,514.02,4589.5
SO - 0002296,25-08-2017,02-09-2017,18,Distributor,NZD,AXW291,95,13,5,2934.6,2406.37,14673.0
SO - 0005053,25-08-2017,30-08-2017,39,Wholesale,USD,AXW291,4,11,12,3966.4,2300.51,47596.8
SO - 0006019,25-08-2017,11-09-2017,46,Wholesale,GBP,AXW291,93,5,6,3879.3,1823.27,23275.8
SO - 0006861,25-08-2017,05-09-2017,21,Wholesale,USD,AXW291,20,7,5,3678.3,2427.68,18391.5
SO - 0007972,25-08-2017,28-08-2017,25,Distributor,AUD,AXW291,23,9,10,3912.8,1839.02,39128.0
SO - 0001190,26-08-2017,31-08-2017,12,Export,NZD,AXW291,62,5,8,3993.2,1836.87,31945.6
SO - 0004361,26-08-2017,07-09-2017,26,Distributor,NZD,AXW291,20,1,11,2519.2,1964.98,27711.2
SO - 0005119,26-08-2017,04-09-2017,20,Wholesale,NZD,AXW291,63,11,10,1105.5,696.47,11055.0
SO - 0005172,26-08-2017,07-09-2017,5,Wholesale,NZD,AXW291,51,7,9,1340.0,978.2,12060.0
SO - 0005619,26-08-2017,08-09-2017,26,Wholesale,USD,AXW291,25,9,10,174.2,121.94,1742.0
SO - 0005694,26-08-2017,02-09-2017,32,Export,USD,AXW291,12,7,9,1695.1,678.04,15255.9
SO - 0006556,26-08-2017,02-09-2017,31,Export,USD,AXW291,69,9,11,871.0,418.08,9581.0
SO - 0008017,26-08-2017,05-09-2017,27,Wholesale,AUD,AXW291,16,11,7,1829.1,749.93,12803.7
SO - 0001841,27-08-2017,13-09-2017,31,Export,NZD,AXW291,17,10,8,3805.6,1598.35,30444.8
SO - 0003728,27-08-2017,03-09-2017,26,Distributor,GBP,AXW291,3,2,6,5138.9,3597.23,30833.4
SO - 0004022,27-08-2017,03-09-2017,32,Distributor,NZD,AXW291,18,9,8,1876.0,1482.04,15008.0
SO - 0004664,27-08-2017,09-09-2017,31,Wholesale,GBP,AXW291,23,9,10,1105.5,519.59,11055.0
SO - 0005370,27-08-2017,09-09-2017,25,Distributor,USD,AXW291,49,5,7,1085.4,629.53,7597.8
SO - 0005839,27-08-2017,30-08-2017,16,Export,GBP,AXW291,66,11,7,3872.6,2865.72,27108.2
SO - 0006240,27-08-2017,08-09-2017,49,Export,AUD,AXW291,74,13,11,2278.0,956.76,25058.0
SO - 0006844,27-08-2017,06-09-2017,48,Distributor,NZD,AXW291,47,1,5,984.9,610.64,4924.5
SO - 0006924,27-08-2017,02-09-2017,32,Distributor,GBP,AXW291,33,7,8,5802.2,4177.58,46417.6
SO - 0007166,27-08-2017,31-08-2017,14,Wholesale,NZD,AXW291,74,11,10,3651.5,2446.51,36515.0
SO - 0007815,27-08-2017,04-09-2017,11,Wholesale,AUD,AXW291,100,2,10,180.9,126.63,1809.0
SO - 000704,28-08-2017,31-08-2017,2,Wholesale,AUD,AXW291,47,1,11,6184.1,4638.08,68025.1
SO - 0001320,28-08-2017,02-09-2017,24,Wholesale,NZD,AXW291,20,13,10,3926.2,2120.15,39262.0
SO - 0003267,28-08-2017,05-09-2017,13,Distributor,NZD,AXW291,78,1,12,1005.0,783.9,12060.0
SO - 0005036,28-08-2017,14-09-2017,39,Wholesale,EUR,AXW291,19,2,8,3128.9,1439.29,25031.2
SO - 0006468,28-08-2017,04-09-2017,12,Wholesale,NZD,AXW291,16,2,8,3845.8,2269.02,30766.4
SO - 0006518,28-08-2017,01-09-2017,17,Wholesale,NZD,AXW291,63,2,6,891.1,570.3,5346.6
SO - 0007323,28-08-2017,13-09-2017,49,Wholesale,NZD,AXW291,23,14,12,1762.1,1497.79,21145.2
SO - 0007945,28-08-2017,10-09-2017,10,Distributor,USD,AXW291,84,5,11,2559.4,1970.74,28153.4
SO - 000321,29-08-2017,06-09-2017,33,Distributor,NZD,AXW291,48,2,12,1192.6,703.63,14311.2
SO - 000399,29-08-2017,15-09-2017,18,Export,USD,AXW291,11,2,12,221.1,172.46,2653.2
SO - 000583,29-08-2017,04-09-2017,46,Distributor,NZD,AXW291,72,9,8,1118.9,839.18,8951.2
SO - 0003387,29-08-2017,01-09-2017,25,Wholesale,USD,AXW291,83,7,9,6411.9,2821.24,57707.1
SO - 0005009,29-08-2017,15-09-2017,15,Distributor,NZD,AXW291,36,2,7,1125.6,697.87,7879.2
SO - 0005606,29-08-2017,09-09-2017,5,Wholesale,NZD,AXW291,17,7,5,1098.8,769.16,5494.0
SO - 0006950,29-08-2017,14-09-2017,25,Distributor,USD,AXW291,70,1,10,2539.3,1879.08,25393.0
SO - 0006960,29-08-2017,16-09-2017,7,Wholesale,AUD,AXW291,65,5,7,2391.9,1698.25,16743.3
SO - 0007962,29-08-2017,14-09-2017,3,Distributor,USD,AXW291,90,7,7,3886.0,1748.7,27202.0
SO - 0003355,30-08-2017,08-09-2017,16,Wholesale,NZD,AXW291,82,2,9,3819.0,2405.97,34371.0
SO - 0003516,30-08-2017,11-09-2017,42,Export,AUD,AXW291,23,2,9,1085.4,434.16,9768.6
SO - 0004275,30-08-2017,12-09-2017,40,Distributor,AUD,AXW291,90,1,8,690.1,524.48,5520.8
SO - 0004698,30-08-2017,05-09-2017,25,Wholesale,EUR,AXW291,84,1,8,3953.0,1818.38,31624.0
SO - 0004954,30-08-2017,04-09-2017,3,Distributor,AUD,AXW291,14,11,12,2552.7,1072.13,30632.4
SO - 0005079,30-08-2017,11-09-2017,40,Wholesale,NZD,AXW291,9,11,8,3825.7,3137.07,30605.6
SO - 0005553,30-08-2017,10-09-2017,37,Export,GBP,AXW291,9,3,9,261.3,182.91,2351.7
SO - 0001834,31-08-2017,03-09-2017,5,Distributor,USD,AXW291,25,5,9,1112.2,734.05,10009.8
SO - 0001886,31-08-2017,13-09-2017,4,Distributor,AUD,AXW291,23,9,7,1005.0,653.25,7035.0
SO - 0002043,31-08-2017,16-09-2017,2,Wholesale,NZD,AXW291,8,7,12,1011.7,536.2,12140.4
SO - 0002693,31-08-2017,09-09-2017,13,Wholesale,NZD,AXW291,60,5,8,1038.5,508.87,8308.0
SO - 0003391,31-08-2017,17-09-2017,8,Distributor,USD,AXW291,50,2,5,1273.0,509.2,6365.0
SO - 0003955,31-08-2017,09-09-2017,34,Wholesale,NZD,AXW291,30,11,8,1051.9,862.56,8415.2
SO - 0004305,31-08-2017,06-09-2017,2,Export,EUR,AXW291,61,9,10,221.1,112.76,2211.0
SO - 0005612,31-08-2017,08-09-2017,47,Distributor,AUD,AXW291,2,2,10,2244.5,920.25,22445.0
SO - 0005938,31-08-2017,04-09-2017,12,Wholesale,NZD,AXW291,46,8,5,1025.1,584.31,5125.5
SO - 0006335,31-08-2017,09-09-2017,44,Wholesale,AUD,AXW291,9,12,8,1929.6,1080.58,15436.8
SO - 0007558,31-08-2017,07-09-2017,41,Distributor,NZD,AXW291,54,2,12,2479.0,1041.18,29748.0
SO - 000996,1-09-2017,05-09-2017,9,Distributor,NZD,AXW291,59,1,6,1273.0,814.72,7638.0
SO - 0001027,1-09-2017,16-09-2017,14,Wholesale,USD,AXW291,92,13,6,2659.9,2154.52,15959.4
SO - 0001168,1-09-2017,12-09-2017,26,Wholesale,USD,AXW291,49,1,8,1112.2,722.93,8897.6
SO - 0001910,1-09-2017,08-09-2017,42,Wholesale,AUD,AXW291,25,9,10,3256.2,2637.52,32562.0
SO - 0002967,1-09-2017,11-09-2017,44,Wholesale,USD,AXW291,100,2,8,6525.8,3197.64,52206.4
SO - 0004126,1-09-2017,11-09-2017,6,Wholesale,GBP,AXW291,34,5,10,3041.8,2038.01,30418.0
SO - 0004277,1-09-2017,09-09-2017,18,Wholesale,NZD,AXW291,46,2,11,6405.2,2882.34,70457.2
SO - 0004617,1-09-2017,18-09-2017,34,Wholesale,AUD,AXW291,93,5,9,3986.5,3308.8,35878.5
SO - 0004881,1-09-2017,12-09-2017,33,Distributor,NZD,AXW291,45,5,7,2680.0,1125.6,18760.0
SO - 0005067,1-09-2017,11-09-2017,41,Distributor,AUD,AXW291,77,11,8,3356.7,1879.75,26853.6
SO - 0005149,1-09-2017,10-09-2017,23,Wholesale,USD,AXW291,13,9,12,2653.2,1936.84,31838.4
SO - 0005187,1-09-2017,04-09-2017,50,Export,NZD,AXW291,24,7,6,1788.9,1216.45,10733.4
SO - 0005943,1-09-2017,12-09-2017,24,Export,NZD,AXW291,81,8,7,696.8,383.24,4877.6
SO - 0006035,1-09-2017,05-09-2017,13,Wholesale,AUD,AXW291,9,6,11,167.5,118.93,1842.5
SO - 0006244,1-09-2017,13-09-2017,41,Wholesale,NZD,AXW291,23,14,12,3832.4,1647.93,45988.8
SO - 0006898,1-09-2017,17-09-2017,6,Wholesale,USD,AXW291,5,5,5,5212.6,3283.94,26063.0
SO - 0006941,1-09-2017,10-09-2017,7,Wholesale,NZD,AXW291,24,14,6,2633.1,1079.57,15798.6
SO - 000136,2-09-2017,17-09-2017,28,Wholesale,NZD,AXW291,40,5,10,2278.0,1093.44,22780.0
SO - 0001271,2-09-2017,10-09-2017,3,Distributor,EUR,AXW291,71,2,11,1018.4,600.86,11202.4
SO - 0001853,2-09-2017,05-09-2017,47,Wholesale,NZD,AXW291,60,11,8,2365.1,1773.83,18920.8
SO - 0001867,2-09-2017,20-09-2017,40,Wholesale,USD,AXW291,90,1,12,2566.1,1693.63,30793.2
SO - 0001879,2-09-2017,08-09-2017,26,Wholesale,NZD,AXW291,80,12,7,2432.1,1021.48,17024.7
SO - 0003375,2-09-2017,08-09-2017,41,Distributor,AUD,AXW291,63,7,9,1822.4,911.2,16401.6
SO - 0004554,2-09-2017,17-09-2017,2,Wholesale,USD,AXW291,74,6,6,1728.6,1452.02,10371.6
SO - 0004924,2-09-2017,09-09-2017,37,Wholesale,GBP,AXW291,98,1,5,5889.3,4888.12,29446.5
SO - 0005933,2-09-2017,17-09-2017,15,Wholesale,NZD,AXW291,27,5,9,971.5,680.05,8743.5
SO - 000311,3-09-2017,16-09-2017,50,Export,NZD,AXW291,32,9,10,2606.3,1668.03,26063.0
SO - 0001119,3-09-2017,17-09-2017,26,Wholesale,NZD,AXW291,60,2,6,5835.7,4726.92,35014.2
SO - 0002232,3-09-2017,14-09-2017,4,Wholesale,GBP,AXW291,96,5,9,3852.5,2581.18,34672.5
SO - 0002457,3-09-2017,18-09-2017,26,Distributor,AUD,AXW291,95,5,5,5514.1,4025.29,27570.5
SO - 0002774,3-09-2017,17-09-2017,2,Wholesale,EUR,AXW291,72,2,6,3886.0,1981.86,23316.0
SO - 0003594,3-09-2017,06-09-2017,34,Distributor,USD,AXW291,34,13,11,2257.9,1241.85,24836.9
SO - 0005192,3-09-2017,15-09-2017,18,Wholesale,USD,AXW291,12,7,7,3959.7,2573.81,27717.9
SO - 0005310,3-09-2017,08-09-2017,39,Wholesale,EUR,AXW291,51,1,12,1165.8,722.8,13989.6
SO - 0005331,3-09-2017,13-09-2017,15,Wholesale,GBP,AXW291,9,11,11,1078.7,560.92,11865.7
SO - 0005333,3-09-2017,07-09-2017,15,Wholesale,NZD,AXW291,29,1,7,2405.3,1154.54,16837.1
SO - 0005595,3-09-2017,11-09-2017,12,Distributor,NZD,AXW291,35,11,9,3504.1,1997.34,31536.9
SO - 0005858,3-09-2017,20-09-2017,4,Export,USD,AXW291,92,9,10,1768.8,955.15,17688.0
SO - 0006734,3-09-2017,17-09-2017,39,Export,GBP,AXW291,86,1,12,261.3,162.01,3135.6
SO - 0002117,4-09-2017,12-09-2017,46,Distributor,NZD,AXW291,22,2,6,2298.1,1401.84,13788.6
SO - 0002823,4-09-2017,11-09-2017,46,Wholesale,NZD,AXW291,8,13,9,1051.9,662.7,9467.1
SO - 0003371,4-09-2017,14-09-2017,16,Wholesale,NZD,AXW291,37,7,11,3899.4,3314.49,42893.4
SO - 0003951,4-09-2017,16-09-2017,47,Wholesale,EUR,AXW291,77,1,6,261.3,177.68,1567.8
SO - 0001773,5-09-2017,18-09-2017,42,Export,AUD,AXW291,97,1,7,1018.4,835.09,7128.8
SO - 0001967,5-09-2017,21-09-2017,3,Distributor,GBP,AXW291,65,13,9,1118.9,716.1,10070.1
SO - 0002703,5-09-2017,11-09-2017,50,Wholesale,EUR,AXW291,48,13,8,2854.2,1427.1,22833.6
SO - 0003175,5-09-2017,11-09-2017,41,Export,USD,AXW291,27,2,12,2284.7,1804.91,27416.4
SO - 0003862,5-09-2017,09-09-2017,41,Distributor,GBP,AXW291,24,1,6,3966.4,3331.78,23798.4
SO - 0005039,5-09-2017,21-09-2017,17,Wholesale,USD,AXW291,73,7,12,3879.3,1551.72,46551.6
SO - 0005853,5-09-2017,13-09-2017,9,Distributor,NZD,AXW291,75,9,6,2244.5,1077.36,13467.0
SO - 0006415,5-09-2017,19-09-2017,29,Export,AUD,AXW291,17,1,9,4013.3,2809.31,36119.7
SO - 0006764,5-09-2017,09-09-2017,16,Export,NZD,AXW291,71,13,8,6545.9,3469.33,52367.2
SO - 0001446,6-09-2017,20-09-2017,22,Export,NZD,AXW291,15,2,9,810.7,486.42,7296.3
SO - 0003097,6-09-2017,16-09-2017,29,Distributor,AUD,AXW291,28,7,9,1179.2,601.39,10612.8
SO - 0003910,6-09-2017,14-09-2017,18,Export,USD,AXW291,49,13,8,5293.0,2487.71,42344.0
SO - 0004168,6-09-2017,20-09-2017,28,Distributor,AUD,AXW291,31,5,7,3865.9,1778.31,27061.3
SO - 0004685,6-09-2017,18-09-2017,41,Distributor,AUD,AXW291,89,1,7,3986.5,2989.88,27905.5
SO - 0005084,6-09-2017,10-09-2017,13,Distributor,NZD,AXW291,68,2,8,5875.9,4289.41,47007.2
SO - 0005212,6-09-2017,18-09-2017,36,Wholesale,USD,AXW291,66,13,10,1051.9,641.66,10519.0
SO - 0005270,6-09-2017,18-09-2017,8,Distributor,AUD,AXW291,86,4,9,2345.0,1735.3,21105.0
SO - 0005645,6-09-2017,14-09-2017,35,Export,USD,AXW291,34,1,5,1132.3,532.18,5661.5
SO - 0006010,6-09-2017,19-09-2017,17,Export,USD,AXW291,35,1,10,6304.7,3026.26,63047.0
SO - 0006669,6-09-2017,14-09-2017,31,Distributor,EUR,AXW291,87,4,9,790.6,347.86,7115.4
SO - 000493,7-09-2017,21-09-2017,29,Export,USD,AXW291,83,7,10,1031.8,453.99,10318.0
SO - 0001015,7-09-2017,19-09-2017,9,Wholesale,USD,AXW291,83,9,12,3819.0,2520.54,45828.0
SO - 0001031,7-09-2017,16-09-2017,26,Distributor,USD,AXW291,85,1,11,998.3,788.66,10981.3
SO - 0001372,7-09-2017,20-09-2017,41,Export,USD,AXW291,72,7,11,2626.4,2153.65,28890.4
SO - 0002208,7-09-2017,15-09-2017,43,Wholesale,NZD,AXW291,51,11,8,2525.9,1161.91,20207.2
SO - 0003413,7-09-2017,22-09-2017,5,Wholesale,NZD,AXW291,39,7,12,5326.5,2503.46,63918.0
SO - 0003934,7-09-2017,25-09-2017,7,Distributor,USD,AXW291,65,12,5,1031.8,588.13,5159.0
SO - 0005611,7-09-2017,15-09-2017,28,Wholesale,NZD,AXW291,11,2,6,931.3,447.02,5587.8
SO - 0007266,7-09-2017,19-09-2017,8,Distributor,NZD,AXW291,24,1,9,3959.7,1623.48,35637.3
SO - 0007571,7-09-2017,16-09-2017,5,Distributor,USD,AXW291,78,1,12,1098.8,648.29,13185.6
SO - 0007975,7-09-2017,10-09-2017,33,Distributor,NZD,AXW291,7,5,10,2264.6,1471.99,22646.0
SO - 0004237,8-09-2017,25-09-2017,17,Wholesale,GBP,AXW291,38,11,12,2639.8,2111.84,31677.6
SO - 0005633,8-09-2017,20-09-2017,40,Export,USD,AXW291,4,2,5,3443.8,2307.35,17219.0
SO - 0007241,8-09-2017,18-09-2017,28,Distributor,USD,AXW291,71,5,6,2010.0,964.8,12060.0
SO - 0007994,8-09-2017,19-09-2017,23,Wholesale,NZD,AXW291,49,1,12,1742.0,975.52,20904.0
SO - 0001907,9-09-2017,25-09-2017,18,Wholesale,NZD,AXW291,72,5,10,1132.3,962.46,11323.0
SO - 0002030,9-09-2017,22-09-2017,26,Distributor,USD,AXW291,45,2,11,6204.2,4280.9,68246.2
SO - 0003526,9-09-2017,27-09-2017,28,Distributor,NZD,AXW291,41,2,12,978.2,616.27,11738.4
SO - 0003634,9-09-2017,20-09-2017,17,Export,USD,AXW291,80,2,12,6177.4,3891.76,74128.8
SO - 0003886,9-09-2017,26-09-2017,46,Wholesale,USD,AXW291,78,5,6,1072.0,621.76,6432.0
SO - 0004562,9-09-2017,14-09-2017,13,Export,AUD,AXW291,58,5,11,2606.3,1277.09,28669.3
SO - 0005238,9-09-2017,22-09-2017,40,Export,AUD,AXW291,38,2,5,938.0,534.66,4690.0
SO - 0006371,9-09-2017,21-09-2017,27,Wholesale,USD,AXW291,9,1,8,2385.2,1025.64,19081.6
SO - 0006775,9-09-2017,15-09-2017,14,Wholesale,USD,AXW291,57,11,10,1045.2,679.38,10452.0
SO - 0008077,9-09-2017,27-09-2017,39,Wholesale,USD,AXW291,44,1,11,227.8,150.35,2505.8
SO - 0001741,10-09-2017,17-09-2017,48,Wholesale,AUD,AXW291,37,7,9,2257.9,1603.11,20321.1
SO - 0002347,10-09-2017,25-09-2017,27,Distributor,AUD,AXW291,64,1,5,1159.1,776.6,5795.5
SO - 0002452,10-09-2017,24-09-2017,41,Wholesale,NZD,AXW291,61,3,5,1132.3,871.87,5661.5
SO - 0004254,10-09-2017,19-09-2017,41,Wholesale,USD,AXW291,54,2,9,3845.8,2845.89,34612.2
SO - 0004729,10-09-2017,21-09-2017,30,Wholesale,NZD,AXW291,70,12,8,1098.8,472.48,8790.4
SO - 0005130,10-09-2017,19-09-2017,29,Wholesale,USD,AXW291,7,1,9,1701.8,935.99,15316.2
SO - 0006565,10-09-2017,20-09-2017,39,Distributor,NZD,AXW291,32,7,5,3926.2,3140.96,19631.0
SO - 0007008,10-09-2017,17-09-2017,16,Distributor,NZD,AXW291,68,5,7,234.5,93.8,1641.5
SO - 0007299,10-09-2017,24-09-2017,18,Distributor,NZD,AXW291,73,7,7,1105.5,906.51,7738.5
SO - 0007696,10-09-2017,20-09-2017,36,Wholesale,USD,AXW291,84,1,7,2371.8,1541.67,16602.6
SO - 000263,11-09-2017,23-09-2017,25,Distributor,AUD,AXW291,64,12,9,1909.5,1088.42,17185.5
SO - 000435,11-09-2017,17-09-2017,14,Export,USD,AXW291,7,13,12,3061.9,2051.47,36742.8
SO - 000905,11-09-2017,28-09-2017,33,Distributor,AUD,AXW291,67,2,12,844.2,337.68,10130.4
SO - 0001812,11-09-2017,18-09-2017,10,Wholesale,EUR,AXW291,92,7,12,2780.5,1390.25,33366.0
SO - 0001912,11-09-2017,24-09-2017,36,Wholesale,USD,AXW291,97,1,5,3852.5,2966.43,19262.5
SO - 0002054,11-09-2017,19-09-2017,30,Wholesale,USD,AXW291,64,5,6,857.6,497.41,5145.6
SO - 0002671,11-09-2017,28-09-2017,2,Export,USD,AXW291,55,9,8,234.5,194.64,1876.0
SO - 0003013,11-09-2017,16-09-2017,7,Distributor,USD,AXW291,76,1,12,944.7,500.69,11336.4
SO - 0004039,11-09-2017,19-09-2017,23,Distributor,USD,AXW291,24,6,5,3932.9,2674.37,19664.5
SO - 0005847,11-09-2017,16-09-2017,50,Distributor,NZD,AXW291,62,4,10,3819.0,2482.35,38190.0
SO - 0005988,11-09-2017,15-09-2017,44,Wholesale,AUD,AXW291,50,14,9,1005.0,743.7,9045.0
SO - 0006539,11-09-2017,24-09-2017,7,Wholesale,NZD,AXW291,52,11,12,730.3,482.0,8763.6
SO - 0006752,11-09-2017,19-09-2017,29,Wholesale,NZD,AXW291,37,7,11,3906.1,3203.0,42967.1
SO - 0007068,11-09-2017,15-09-2017,32,Distributor,GBP,AXW291,34,7,8,2331.6,1865.28,18652.8
SO - 000692,12-09-2017,30-09-2017,15,Export,GBP,AXW291,30,7,9,3731.9,2276.46,33587.1
SO - 0002164,12-09-2017,26-09-2017,25,Wholesale,EUR,AXW291,45,13,11,3772.1,3093.12,41493.1
SO - 0003568,12-09-2017,22-09-2017,37,Wholesale,NZD,AXW291,84,1,12,2465.6,1725.92,29587.2
SO - 0003980,12-09-2017,23-09-2017,34,Export,NZD,AXW291,37,9,12,214.4,165.09,2572.8
SO - 0004864,12-09-2017,30-09-2017,35,Wholesale,NZD,AXW291,10,2,9,1011.7,414.8,9105.3
SO - 0007237,12-09-2017,26-09-2017,10,Wholesale,NZD,AXW291,66,13,6,1721.9,947.05,10331.4
SO - 0007320,12-09-2017,28-09-2017,16,Wholesale,NZD,AXW291,66,2,5,1118.9,794.42,5594.5
SO - 0001270,13-09-2017,21-09-2017,12,Wholesale,NZD,AXW291,79,10,12,1085.4,477.58,13024.8
SO - 0001943,13-09-2017,16-09-2017,42,Wholesale,NZD,AXW291,45,13,9,978.2,626.05,8803.8
SO - 0003870,13-09-2017,16-09-2017,11,Export,GBP,AXW291,5,7,12,194.3,122.41,2331.6
SO - 0004399,13-09-2017,27-09-2017,34,Distributor,NZD,AXW291,45,5,11,6097.0,4816.63,67067.0
SO - 0005437,13-09-2017,25-09-2017,31,Wholesale,NZD,AXW291,80,11,8,3906.1,3242.06,31248.8
SO - 0005768,13-09-2017,21-09-2017,38,Export,AUD,AXW291,57,1,11,1145.7,492.65,12602.7
SO - 0005851,13-09-2017,29-09-2017,5,Wholesale,USD,AXW291,51,8,9,1092.1,917.36,9828.9
SO - 0005982,13-09-2017,20-09-2017,9,Export,USD,AXW291,85,2,11,5554.3,2777.15,61097.3
SO - 0006839,13-09-2017,26-09-2017,26,Distributor,NZD,AXW291,52,13,9,1876.0,1575.84,16884.0
